QID,question,A,B,C,D,answer,reason,difficulty,qtype,topic
1,"I. M borrowed P10,000 cash from P and issued a promissory note which states “I promise to pay P10,000 to P.” Subsequently, P assigned the promissory note in exchange for laptop to H. Afterwards, H assigned the promissory note to M for P10,000.

What mode of extinguishing obligation is present?",,,,,Merger,,2,identify,TEST
2,"B is liable to deliver a specific cellphone to L. At the maturity of the obligation, they agreed to change the prestation to specific laptop.

What mode of extinguishing obligation is present?",,,,,Novation,,2,identify,TEST
3,"ABC Incorporated deposited P1,000,000 cash to Banco Filipino under savings deposit. Afterwards, Banco Filipino granted a loan to ABC Incorporated with maturity value of P1,000,000 that will mature on October 4, 2024. The loan payable to Incorporated matured on October 4, 2024. 

What mode of extinguishing obligation is present?",,,,,Compensation,,2,identify,TEST
4,"D borrowed P5,000 cash from C. Afterwards, D and C became friends. Out of generosity, C forgave the obligation of D. D accepted the said cancellation of his obligation.  

What mode of extinguishing obligation is present?",,,,,Remission,,2,identify,TEST
5,"To have the effect of payment, debts in money should be made in currency stipulated by the parties or:",In currency which is legal tender in the Philippines.,By the delivery of manager’s check or cashier’s check,By the delivery of promissory note or bills of exchange.,By the delivery of a property as equivalent of payment,In currency which is legal tender in the Philippines.,,2,mcq,TEST
6,Mrs. Moh sold her car for Php2m to Mrs. Koh. There was no fixed date for the performance of the obligations of both parties. The obligations of Mrs. Moh as vendor is:,To wait for Mrs. Koh to pay Php2m and deliver the car,To deliver the car immediately as this is a perfected contract.,To deliver the car after Mrs. Koh demands for its delivery.,To rescind the contract because no time or date is fixed for the performance of their respective obligations.,To wait for Mrs. Koh to pay Php2m and deliver the car,,2,mcq,TEST
7,1st Statement - The conveyance of ownership of a thing as an accepted equivalent of performance is called dation in payment which is cumulative and governed by the law on sales 2nd Statement – A potestative condition will render an obligation void.,Both statements are wrong,Both statements are correct,"1st is correct, 2nd is wrong","1st is wrong, 2nd is correct",Both statements are wrong,,2,mcq,TEST
8,"Clara owes Crisistomo Php1m, guaranteed by Cecilio. Crisistomo assigned his credit to Cristina. Cristina assigned her credit to Criselda. Criselda assigned her credit to Clara. The obligation of Clara is extinguished because of:",Compensation,Confusion,Novation,Rescission,Confusion,,2,mcq,TEST
9,"Fidel is indebted to Crispin in the amount of Php1m. Fidel voluntarily  and even after the prescription of the debt, paid Crispin on January 27, 2023. Now Fidel would like to recover what he paid. In this case: ",Fidel must institute a case for recovery under the principle of solutio indebite,Under the law the creditor has no right to demand payment of an obligation after it has prescribed and therefore Crispin has unjustly enriched himself,Fidel cannot recover because payment is a mode of extinguishing the monetary obligation.,Fidel cannot recover because what he fulfilled is a natural obligation,Fidel cannot recover because what he fulfilled is a natural obligation,,2,mcq,TEST
10,"Atoy, Bitoy and Caloy executed a promissory note binding themselves to pay P9,000 to Tito, Vic and Joey. The note is now due and demandable. Can the creditors proceed against Atoy alone for the payment of the entire debt? ","No, each creditor can collect only P3,000 from Atoy.","Yes, any of the creditors can collect P9,000 from Atoy.","No, each creditor can collect only P1,000 from A","Yes, since the promissory note is silent with respect to the rights of the creditors, the obligation is presumed to be solidary.","No, each creditor can collect only P1,000 from A",,2,mcq,TEST
